id,Correct_Answer,EasyRAG_Pred,EasyRAG_Correct,EasyRAG_Time,AgenticRAG_Pred,AgenticRAG_Correct,AgenticRAG_Time,CorrectiveRAG_Pred,CorrectiveRAG_Correct,CorrectiveRAG_Time
hard_mcq_001_gaa_parasitics,B,B,1.0,3.84,B,1.0,4.72,B,1.0,12.76
hard_mcq_002_high_na_dof,B,B,1.0,4.43,B,1.0,5.91,B,1.0,14.01
hard_mcq_003_3d_nand_etch,C,C,1.0,3.29,C,1.0,4.38,C,1.0,12.19
hard_mcq_004_hybrid_bonding,B,B,1.0,2.31,B,1.0,3.37,B,1.0,10.64
hard_mcq_005_finfet_limit,B,C,0.0,2.1,C,0.0,3.76,C,0.0,10.82
mcq_001_litho,B,B,1.0,2.06,B,1.0,2.82,B,1.0,9.84
mcq_002_transistor,C,C,1.0,3.43,C,1.0,2.92,C,1.0,12.13
mcq_003_memory,A,A,1.0,2.81,A,1.0,2.91,A,1.0,25.83
mcq_004_material,D,D,1.0,3.01,D,1.0,4.19,D,1.0,11.37
mcq_005_advanced_litho,B,B,1.0,2.17,B,1.0,2.47,B,1.0,9.73
AVERAGE,,,0.9,2.945,,0.9,3.745,,0.9,12.932
